key,en-us,zh-cn
cmd.espionage.intel_gov,"Government: {gov} | Power: {power}","政府：{gov} | 实力：{power}"
cmd.espionage.intel_stats,"Economy: {eco}/100 | Military: {mil}/100 | Stability: {stb}/100","经济：{eco}/100 | 军事：{mil}/100 | 稳定：{stb}/100"
cmd.espionage.intel_treasury,"Treasury: ${treasury}B | Nuclear: {nuke}","国库：${treasury}B | 核武器：{nuke}"
cmd.espionage.intel_allies,"Allies: {allies}","盟友：{allies}"
cmd.espionage.intel_enemies,"Enemies: {enemies}","敌人：{enemies}"
cmd.espionage.unknown_action,"Unknown espionage action: {action}. Try: infiltrate, sabotage, intel","未知间谍行动：{action}。请尝试：infiltrate, sabotage, intel"

# ── Commands: nuclear ──
cmd.nuclear.desc,"Launch nuclear weapons — irreversible and catastrophic","发射核武器——不可逆转的灾难性行动"
cmd.nuclear.usage,"nuclear <country_id> — WARNING: This action is irreversible!","nuclear <country_id> — 警告：此行动不可逆转！"
cmd.nuclear.no_args,"Usage: nuclear <country_id> — WARNING: This action is irreversible!","用法：nuclear <country_id> — 警告：此行动不可逆转！"
cmd.nuclear.unknown_country,"Unknown country: {id}","未知国家：{id}"
cmd.nuclear.self,"You cannot nuke yourself.","你不能核打击自己。"
cmd.nuclear.no_nukes,"Your country does not possess nuclear weapons.","你的国家没有核武器。"
cmd.nuclear.detected,"☢ ☢ ☢  NUCLEAR LAUNCH DETECTED  ☢ ☢ ☢","☢ ☢ ☢  检测到核发射  ☢ ☢ ☢"
cmd.nuclear.result,"{flag} {name} has been devastated by nuclear weapons.","{flag} {name} 已被核武器摧毁。"
cmd.nuclear.survivors,"{pop}M survivors remain. The world stands in shock.","{pop}M 幸存者。世界震惊。"
cmd.nuclear.wc_warning,"World Collapse +30%. There is no going back.","世界崩坏度 +30%。没有回头路了。"

# ── Commands: propaganda ──
cmd.propaganda.desc,"Launch propaganda campaign to boost national stability","发起宣传运动以提升国家稳定"
cmd.propaganda.usage,"propaganda <domestic|foreign>","propaganda <domestic|foreign>"
cmd.propaganda.no_args,"Usage: propaganda <domestic|foreign>","用法：propaganda <domestic|foreign>"
cmd.propaganda.no_points,"Not enough diplomatic points (need {need}, have {have})","外交点数不足（需要 {need}，拥有 {have}）"
cmd.propaganda.domestic,"Domestic propaganda campaign launched. Citizens rally behind the government. Stability +5, NE +3%.","国内宣传运动已启动。公民团结在政府周围。稳定 +5，国家耐力 +3%。"
cmd.propaganda.foreign,"Foreign propaganda blitz launched. Global perception improves (+5 relations worldwide).","对外宣传攻势已启动。全球认知改善（全球关系 +5）。"
cmd.propaganda.unknown_target,"Unknown target. Use: domestic | foreign","未知目标。请使用：domestic | foreign"

# ── Commands: world ──
cmd.world.desc,"View the current global situation overview","查看当前全球局势概览"
cmd.world.usage,"world","world"
cmd.world.header,"=== GLOBAL SITUATION — DAY {day} ===","=== 全球局势 — 第 {day} 天 ==="
cmd.world.collapse_line,"World Collapse: {wc}%","世界崩坏度：{wc}%"
cmd.world.alliances_header,"Alliances & Rivalries:","联盟与对抗："

# ── Commands: relations ──
cmd.relations.desc,"View diplomatic relations with a specific country","查看与特定国家的外交关系"
cmd.relations.usage,"relations <country_id>","relations <country_id>"
cmd.relations.no_args,"Usage: relations <country_id>","用法：relations <country_id>"
cmd.relations.unknown_country,"Unknown country: {id}","未知国家：{id}"
cmd.relations.header,"=== RELATIONS: {flag} {name} ===","=== 外交关系：{flag} {name} ==="
cmd.relations.status,"Status: {status} ({rel}/100)","状态：{status}（{rel}/100）"
cmd.relations.shared_allies,"Shared allies: {allies}","共同盟友：{allies}"
cmd.relations.their_relations,"Their other relations:","其他关系："
cmd.relations.allied,"allied","盟友"
cmd.relations.friendly,"friendly","友好"
cmd.relations.neutral,"neutral","中立"
cmd.relations.tense,"tense","紧张"
cmd.relations.hostile,"hostile","敌对"
cmd.relations.at_war,"at war","交战中"

# ── Commands: clear ──
cmd.clear.desc,"Clear the screen","清除屏幕"
cmd.clear.usage,"clear","clear"

# ── Commands: quit ──
cmd.quit.desc,"Exit the game","退出游戏"
cmd.quit.usage,"quit","quit"

# ── Commands: language ──
cmd.language.desc,"Switch game language","切换游戏语言"
cmd.language.usage,"language <en-us|zh-cn>","language <en-us|zh-cn>"
cmd.language.switched,"Language switched to {lang}.","语言已切换为 {lang}。"
cmd.language.invalid,"Invalid language. Available: en-us, zh-cn","无效语言。可用：en-us, zh-cn"

# ── Event Templates ──
event.military_drills.title,"Military Drills Escalate Tensions","军事演习加剧紧张局势"
event.military_drills.desc,"{A} conducts large-scale military exercises near {B}'s borders, drawing sharp condemnation.","{A} 在 {B} 边境附近进行大规模军事演习，引发强烈谴责。"
event.missile_test.title,"Missile Test Provokes Crisis","导弹试验引发危机"
event.missile_test.desc,"{A} tests a new long-range missile. {B} calls an emergency UN Security Council session.","{A} 试射了新型远程导弹。{B} 要求召开联合国安理会紧急会议。"
event.naval_standoff.title,"Naval Standoff in Disputed Waters","争议水域海军对峙"
event.naval_standoff.desc,"{A} and {B} warships come dangerously close in contested waters. Both sides blame each other.","{A} 与 {B} 的军舰在争议水域危险接近。双方互相指责。"
event.cyber_attack.title,"Cyber Attack Cripples Infrastructure","网络攻击瘫痪基础设施"
event.cyber_attack.desc,"A massive cyber attack, suspected to originate from {A}, hits {B}'s power grid and communication networks.","一场源自 {A} 的大规模网络攻击打击了 {B} 的电网和通信网络。"
event.arms_deal.title,"Arms Deal Reshapes Regional Balance","军火交易重塑地区平衡"
event.arms_deal.desc,"{A} sells advanced weaponry to allies, shifting the military balance and alarming {B}.","{A} 向盟友出售先进武器，改变了军事平衡，令 {B} 感到不安。"
event.border_skirmish.title,"Border Skirmish Erupts","边境冲突爆发"
event.border_skirmish.desc,"Fighting breaks out along the {A}-{B} border. Casualties reported on both sides as tensions spike.","{A}-{B} 边境爆发战斗。双方均有伤亡，紧张局势急剧升级。"
event.government_crisis.title,"Government Crisis","政府危机"
event.government_crisis.desc,"Political turmoil in {A} as the ruling government faces a no-confidence vote.","{A} 政局动荡，执政政府面临不信任投票。"
event.contested_election.title,"Contested Election Results","选举结果争议"
event.contested_election.desc,"Allegations of fraud rock {A}'s election, sparking mass protests and international concern.","{A} 选举舞弊指控引发大规模抗议和国际关注。"
event.leader_speech.title,"Leader's Controversial Speech","领导人争议性演讲"
event.leader_speech.desc,"{A}'s leader makes inflammatory remarks on the world stage, alarming diplomats worldwide.","{A} 领导人在世界舞台上发表了煽动性言论，令全球外交官震惊。"
event.coup_attempt.title,"Coup Attempt","政变未遂"
event.coup_attempt.desc,"Military factions in {A} attempt to seize power. The fate of the nation hangs in the balance.","{A} 的军事派系试图夺取政权。国家的命运悬于一线。"
event.market_crash.title,"Market Crash","市场崩溃"
event.market_crash.desc,"A sudden crash in {A}'s stock market sends shockwaves through the global economy.","{A} 股市突然崩盘，冲击波席卷全球经济。"
event.trade_war.title,"Trade War Intensifies","贸易战加剧"
event.trade_war.desc,"{A} imposes heavy tariffs on {B}'s goods. {B} vows retaliation. Markets tumble.","{A} 对 {B} 的商品征收高额关税。{B} 誓言报复。市场暴跌。"
event.sanctions_crushing.title,"Sanctions Crushing Economy","制裁压垮经济"
event.sanctions_crushing.desc,"Sweeping international sanctions devastate {A}'s economy. Civilian suffering grows.","全面的国际制裁摧毁了 {A} 的经济。平民苦难加剧。"
event.energy_crisis.title,"Energy Crisis Looms","能源危机迫近"
event.energy_crisis.desc,"Global energy prices spike as {A} restricts exports. Winter approaches and nations scramble.","随着 {A} 限制出口，全球能源价格飙升。冬天临近，各国争相应对。"
event.tech_breakthrough.title,"Tech Breakthrough Announced","技术突破宣布"
event.tech_breakthrough.desc,"{A} unveils a revolutionary technology breakthrough, reshaping global economic competition.","{A} 公布了一项革命性技术突破，重塑全球经济竞争格局。"
event.peace_deal.title,"Historic Peace Deal","历史性和平协议"
event.peace_deal.desc,"{A} and {B} sign a landmark peace agreement, easing decades of tension.","{A} 与 {B} 签署了具有里程碑意义的和平协议，缓解了数十年来的紧张局势。"
event.alliance_treaty.title,"Alliance Treaty Signed","联盟条约签署"
event.alliance_treaty.desc,"{A} and {B} formalize a defense pact, reshaping the geopolitical landscape.","{A} 与 {B} 正式确立了防务协定，重塑地缘政治格局。"
event.summit_breakthrough.title,"Summit Yields Breakthrough","峰会取得突破"
event.summit_breakthrough.desc,"Leaders of {A} and {B} meet at a historic summit, agreeing to reduce tensions.","{A} 与 {B} 的领导人举行历史性峰会，同意减少紧张局势。"
event.diplomatic_expulsion.title,"Diplomatic Expulsion","外交驱逐"
event.diplomatic_expulsion.desc,"{A} expels {B}'s diplomats over alleged espionage. Relations plummet.","{A} 以涉嫌间谍活动为由驱逐 {B} 的外交官。两国关系急剧恶化。"
event.un_resolution.title,"UN Resolution Sparks Debate","联合国决议引发辩论"
event.un_resolution.desc,"A controversial UN resolution targeting {A} divides the Security Council along familiar fault lines.","一项针对 {A} 的有争议的联合国决议使安理会沿着熟悉的裂痕分裂。"
event.earthquake.title,"Devastating Earthquake","毁灭性地震"
event.earthquake.desc,"A massive earthquake strikes {A}. Thousands dead, infrastructure in ruins. International aid pours in.","一场大地震袭击了 {A}。数千人遇难，基础设施沦为废墟。国际援助纷纷涌入。"
event.pandemic.title,"Pandemic Outbreak","疫情爆发"
event.pandemic.desc,"A new viral outbreak in {A} spreads rapidly. Nations close borders and panic sets in.","{A} 出现新的病毒疫情并迅速蔓延。各国关闭边境，恐慌蔓延。"
event.climate_catastrophe.title,"Climate Catastrophe","气候灾难"
event.climate_catastrophe.desc,"Extreme weather devastates {A}. Crops fail, cities flood. Climate refugees surge across borders.","极端天气摧毁了 {A}。农作物歉收，城市被淹。气候难民涌过边境。"
event.nuclear_emergency.title,"Nuclear Plant Emergency","核电站紧急事故"
event.nuclear_emergency.desc,"A nuclear facility in {A} reports a critical malfunction. Evacuations begin as fears of meltdown spread.","{A} 的一座核设施报告了严重故障。随着对熔毁的恐惧蔓延，撤离行动开始。"

# ── Special Events ──
event.intro.title,"A New World Order Begins","新世界秩序开启"
event.intro.desc,"You assume control of {flag} {name}. The world watches with bated breath. Global headlines: {headlines}. The stage is set. History awaits your command.","你掌控了 {flag} {name}。世界屏息以待。全球头条：{headlines}。舞台已搭好。历史等待着你的命令。"

# ── Countries ──
country.USA.name,"United States","美国"
country.USA.desc,"Global superpower with unmatched military reach and the world's reserve currency. Faces internal divisions but projects power worldwide.","拥有无与伦比的军事覆盖范围和世界储备货币的全球超级大国。面临内部分裂，但在全球投射力量。"
country.CHN.name,"China","中国"
country.CHN.desc,"Rising superpower with the world's largest population and rapidly modernizing military. Belt and Road extends influence globally.","拥有世界最多人口和快速现代化军队的崛起超级大国。一带一路在全球扩展影响力。"
country.RUS.name,"Russia","俄罗斯"
country.RUS.desc,"Nuclear-armed power with vast natural resources and a willingness to project force. Economy weakened by sanctions but military remains formidable.","拥有核武器和丰富自然资源的强国，愿意投射力量。经济受制裁削弱，但军事依然强大。"
country.GBR.name,"United Kingdom","英国"
country.GBR.desc,"Nuclear-armed island nation with a powerful financial sector and global intelligence reach. Close US ally with independent strategic thinking.","拥有核武器的岛国，拥有强大的金融部门和全球情报网络。美国的紧密盟友，具有独立战略思维。"
country.FRA.name,"France","法国"
country.FRA.desc,"Nuclear power with a strong independent foreign policy tradition. Key EU leader with significant African influence and Mediterranean naval presence.","拥有强大独立外交政策传统的核大国。欧盟关键领导者，在非洲有重要影响力和地中海海军存在。"
country.DEU.name,"Germany","德国"
country.DEU.desc,"Europe's economic engine with growing military investment. Reluctant global leader navigating energy transition and continental security challenges.","欧洲的经济引擎，军事投资不断增长。不情愿的全球领导者，应对能源转型和大陆安全挑战。"
country.JPN.name,"Japan","日本"
country.JPN.desc,"Technological powerhouse with a pacifist constitution under increasing strain. Faces growing regional threats and debates military normalization.","技术强国，和平宪法面临越来越大的压力。面对日益增长的区域威胁，争论军事正常化。"
country.IND.name,"India","印度"
country.IND.desc,"World's largest democracy and fastest-growing major economy. Nuclear-armed with a strategic balancing act between major powers.","世界上最大的民主国家和增长最快的主要经济体。拥有核武器，在大国之间进行战略平衡。"
country.PRK.name,"North Korea","朝鲜"
country.PRK.desc,"Isolated nuclear state with a massive conventional military. The ultimate wildcard — erratic, unpredictable, and armed with ICBMs.","孤立的拥核国家，拥有庞大的常规军事力量。终极变数——反复无常、不可预测、装备洲际弹道导弹。"
country.IRN.name,"Iran","伊朗"
country.IRN.desc,"Theocratic nuclear-threshold state with extensive proxy networks across the Middle East. Sanctions-battered but strategically resilient.","神权核门槛国家，在中东拥有广泛的代理网络。受制裁打击但战略韧性十足。"
country.ISR.name,"Israel","以色列"
country.ISR.desc,"Nuclear-armed Middle Eastern power with advanced tech sector and one of the world's most capable militaries. Perpetually on high alert.","拥有核武器的中东强国，拥有先进的科技部门和世界最强大的军队之一。永远处于高度戒备状态。"
country.BRA.name,"Brazil","巴西"
country.BRA.desc,"South America's largest nation with vast natural resources and untapped potential. BRICS member navigating between global power blocs.","南美洲最大的国家，拥有丰富的自然资源和未开发的潜力。金砖国家成员，在全球权力集团之间周旋。"

# ── Government Types ──
gov.democracy,"democracy","民主制度"
gov.authoritarian,"authoritarian","威权制度"
gov.theocracy,"theocracy","神权制度"
gov.monarchy,"monarchy","君主制度"
gov.communist,"communist","共产主义"

# ── Power Levels ──
power.superpower,"superpower","超级大国"
power.major,"major","普通大国"
power.regional,"regional","地区强国"
power.minor,"minor","普通小国"

# ── Relation Status ──
rel.allied,"ALLIED","盟友"
rel.friendly,"FRIENDLY","友好"
rel.neutral,"NEUTRAL","中立"
rel.tense,"TENSE","紧张"
rel.hostile,"HOSTILE","敌对"
rel.at_war,"AT WAR","交战"

# ── Event Severity ──
severity.low,"low","低"
severity.medium,"medium","中"
severity.high,"high","高"
severity.critical,"critical","严重"

# ── Event Types ──
event_type.political,"political","政治"
event_type.military,"military","军事"
event_type.economic,"economic","经济"
event_type.diplomatic,"diplomatic","外交"
event_type.disaster,"disaster","灾害"
event_type.crisis,"crisis","危机"

# ── Collapse Log Messages ──
collapse.sanctions,"Sanctions imposed on {name}","对 {name} 实施制裁"
collapse.condemnation,"Public condemnation of {name}","公开谴责 {name}"
collapse.forces_deployed,"Forces deployed to {name}'s region","部队部署至 {name} 地区"
collapse.military_strike,"Military strike against {name}","对 {name} 的军事打击"
collapse.espionage_scandal,"Espionage scandal involving {name}","涉及 {name} 的间谍丑闻"
collapse.covert_sabotage,"Covert sabotage of {name}","对 {name} 的秘密破坏"
collapse.currency_manipulation,"Currency manipulation detected","检测到货币操纵"
collapse.economic_sanctions,"Economic sanctions on {name}","对 {name} 的经济制裁"
